DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9
201_906793,0.99999976,0.9810699,0.8746736,0.6378758,0.44035545,0.35148576,0.2465743,0.1505917,0.10273314,0.08726132
167_1290806,0.99999976,0.9736795,0.84022784,0.72620595,0.6253156,0.35469842,0.2784324,0.22838365,0.14797577,0.14559549
104_908149,0.99999976,0.9709107,0.88947827,0.8171162,0.6721812,0.52627206,0.42275655,0.1836031,0.11522515,0.08025865
256_724872,0.99999976,0.9744418,0.95672,0.88686895,0.71842915,0.58610874,0.4332406,0.23125339,0.12831628,0.12879026
157_907278,0.99999976,0.9729093,0.90981025,0.7396012,0.47311205,0.19471028,0.07899195,0.052948553,0.0362734,0.041088533
179_910930,0.99999976,0.9737063,0.90463465,0.79896396,0.6640932,0.553667,0.41286787,0.20174943,0.15771785,0.12305292
170_1330947,0.99999976,0.9703414,0.9268032,0.7897449,0.6882124,0.45243958,0.2123165,0.14642483,0.09835085,0.08148032
235_910853,0.99999976,0.9797576,0.83821636,0.52680904,0.29476357,0.19197255,0.1513026,0.100900374,0.06497172,0.063661456
180_910704,0.99999976,0.9706858,0.89201635,0.7259262,0.44836944,0.324584,0.20453455,0.1226481,0.13591482,0.13008818
1026_907317,0.99999976,0.9765798,0.886161,0.7944159,0.6857179,0.547898,0.43409857,0.41155156,0.29147688,0.2711944
330_949088,0.99999976,0.9692329,0.90393376,0.80560637,0.6474105,0.47714806,0.34086308,0.20419267,0.1516731,0.14408386
53_924247,0.99999976,0.9727759,0.8687182,0.6015293,0.45962757,0.3218452,0.2322658,0.15083556,0.114324875,0.1060784
208_906871,0.99999976,0.9660035,0.91312253,0.75115645,0.5021541,0.24146321,0.056269098,0.031069146,0.025072457,0.01730641
170_1240205,0.99999976,0.9807777,0.912991,0.79526603,0.6522329,0.46989274,0.36469156,0.23617159,0.19712284,0.122430906
273_1240218,0.99999976,0.9755611,0.9313574,0.7813596,0.6123824,0.48667806,0.31034908,0.2173032,0.12576546,0.10789046
273_1290809,0.99999976,0.9654901,0.9384375,0.9004787,0.77025336,0.6987953,0.43279967,0.24737993,0.12569042,0.11536487
269_909729,0.99999976,0.9702908,0.88780516,0.8146835,0.617673,0.49489102,0.32666054,0.17558058,0.14352912,0.12696828
225_1240145,0.99999976,0.9757597,0.9030822,0.8713217,0.70685786,0.57241404,0.39843896,0.23613438,0.1670574,0.12577014
1012_906836,0.99999976,0.96895415,0.8994897,0.83058053,0.68320954,0.48457935,0.28649783,0.17712465,0.11310044,0.10323322
157_924110,0.99999976,0.9665575,0.8886838,0.839543,0.7597472,0.60565287,0.5365063,0.36714315,0.2578494,0.27032557
274_908467,0.99999976,0.9825793,0.9892739,0.8821448,0.81171054,0.68487823,0.45595393,0.233826,0.16966107,0.17347814
274_1298222,0.99999976,0.9701184,0.8064182,0.6645872,0.2563192,0.24968491,0.13394538,0.038144805,0.08122549,0.05632275
134_1330985,0.99999976,0.9778299,0.92717594,0.87191725,0.7294195,0.57616186,0.3424071,0.124133244,0.10708884,0.08050294
135_905983,0.99999976,0.9730454,0.77218044,0.657257,0.49231732,0.38030347,0.2657351,0.17944027,0.094564214,0.07216452
194_1240139,0.99999976,0.9743773,0.9128064,0.79516417,0.6377928,0.5515125,0.34484696,0.21077335,0.12985387,0.124752134
219_910930,0.99999976,0.9737063,0.90463465,0.79896396,0.6640932,0.553667,0.41286787,0.20174943,0.15771785,0.12305292
152_1331040,0.99999976,0.9728658,0.8866333,0.7617155,0.590743,0.40920424,0.2466039,0.19394882,0.12618582,0.08994355
53_906869,0.99999976,0.962926,0.7769716,0.57591873,0.49318218,0.41652438,0.2996537,0.22181307,0.15428379,0.17766535
346_749711,0.99999976,0.9748614,0.9547399,0.8972314,0.8252233,0.68522877,0.4093843,0.22554862,0.13184756,0.12495357
268_753549,0.99999976,0.9696262,0.87983185,0.6742802,0.7411914,0.50192463,0.39831597,0.20079103,0.03278348,0.034604073
104_1330983,0.99999976,0.9673582,0.9148468,0.81864136,0.7048373,0.528851,0.3448516,0.29907253,0.18474384,0.17073742
1007_905948,0.99999976,0.975417,0.8275411,0.7667725,0.760549,0.5607286,0.3346408,0.20070064,0.123154886,0.10868563
272_910549,0.99999976,0.9806611,0.88975143,0.8793075,0.6742757,0.4702899,0.4328621,0.23165746,0.18554443,0.15156433
170_1290730,0.99999976,0.968151,0.8814717,0.80061495,0.6330135,0.5382611,0.41415426,0.3007827,0.25735214,0.26997733
157_753616,0.99999976,0.96999943,0.91105694,0.8966831,0.7921834,0.6266386,0.41737422,0.3167036,0.28313082,0.3006249
308_908449,0.99999976,0.97450143,0.8882789,0.8209872,0.70490324,0.57893103,0.3468676,0.26422235,0.21032974,0.19726951
274_1480360,0.99999976,0.97533995,0.89444345,0.87843436,0.77626914,0.57291096,0.38640592,0.24412164,0.08497171,0.13355643
1012_949166,0.99999976,0.967743,0.92510223,0.87055355,0.76608676,0.6176801,0.46131426,0.36808267,0.25781044,0.27133122
45_1330933,0.99999976,0.97328335,0.9016364,0.78675675,0.66105103,0.5027099,0.3425065,0.20802565,0.13123256,0.120892316
170_909756,0.99999976,0.97943723,0.9055679,0.89056826,0.66872805,0.429994,0.23804134,0.17214723,0.11665344,0.10559341
1031_909777,0.99999976,0.97113866,0.9658442,0.84316593,0.69504815,0.51734716,0.37739235,0.26119047,0.19731593,0.2136305
328_910904,0.99999976,0.97240967,0.8902856,0.9259382,0.5315888,0.45130354,0.23480299,0.15971862,0.10697391,0.10833512
344_1524415,0.99999976,0.9701704,0.9068387,0.8244299,0.6549204,0.49052995,0.35572052,0.300161,0.23100501,0.21256132
140_906856,0.99999976,0.97631437,0.91508853,0.80973345,0.60366696,0.43686306,0.2760292,0.1847548,0.114312045,0.09088322
268_946373,0.99999976,0.97579414,0.9119595,0.8365596,0.78537434,0.6995108,0.4682229,0.20686701,0.12171179,0.09912068
200_906795,0.99999976,0.96689016,0.8608454,0.7504642,0.7641008,0.5337147,0.46274975,0.17597947,0.16090883,0.15001492
245_907286,0.99999976,0.9737484,0.91487694,0.8032535,0.7009779,0.48915207,0.34191096,0.18363176,0.13513404,0.1290064
272_908118,0.99999976,0.9721068,0.92139184,0.8858582,0.7521807,0.36731434,0.32693022,0.22243845,0.0758139,0.060261343
133_1331040,0.99999976,0.9728658,0.8866333,0.7617155,0.590743,0.40920424,0.2466039,0.19394882,0.12618582,0.08994355
196_1298349,0.99999976,0.9767772,0.8150081,0.6962023,0.625608,0.50969666,0.24787834,0.189504,0.110047005,0.09359261
170_910691,0.99999976,0.9694571,0.9276804,0.84588337,0.6170432,0.5904611,0.2876595,0.16044739,0.09215387,0.121688694
180_905961,0.99999976,0.98074925,0.93690664,0.78763306,0.6346611,0.39122075,0.3556528,0.27681854,0.15194485,0.13936193
273_906793,0.99999976,0.9810699,0.8746736,0.6378758,0.44035545,0.35148576,0.2465743,0.1505917,0.10273314,0.08726132
245_1299081,0.99999976,0.9816659,0.9177613,0.82358325,0.58367676,0.44184434,0.34703436,0.17233527,0.07671048,0.0653082
1057_1240149,0.99999976,0.97328335,0.9016364,0.7885768,0.6576135,0.49987197,0.33604306,0.2061109,0.12948786,0.120892316
344_907042,0.99999976,0.9761482,0.89670366,0.8734305,0.8215226,0.7256391,0.31728107,0.12203546,0.08635638,0.064853095
173_1330983,0.99999976,0.9673582,0.9148468,0.81864136,0.7048373,0.528851,0.3448516,0.29907253,0.18474384,0.17073742
152_907175,0.99999976,0.9744132,0.9287061,0.81653607,0.7082473,0.5105761,0.38823658,0.21553218,0.16086914,0.1747218
1031_907072,0.99999976,0.96915174,0.90251315,0.76566696,0.6314536,0.5251241,0.34629282,0.24818815,0.13752142,0.15793039
1003_909773,0.99999976,0.97674865,0.9191561,0.7780863,0.6061484,0.37696305,0.21350253,0.123368815,0.08366081,0.08210332
170_753562,0.99999976,0.97506624,0.8871912,0.7614975,0.47153872,0.32296976,0.20203178,0.1693909,0.07658133,0.0785363
170_907059,0.99999976,0.97114754,0.9468674,0.85656357,0.6608764,0.2466289,0.20876935,0.14249581,0.10622343,0.065666206
170_910948,0.99999976,0.972166,0.93079406,0.81693906,0.686272,0.5328649,0.28231162,0.173274,0.09556924,0.060359307
346_924104,0.99999976,0.979354,0.8957277,0.80905634,0.63590056,0.4272863,0.32895854,0.24549048,0.13904676,0.13254517
1003_907323,0.99999976,0.97295564,0.88369745,0.7920591,0.65975606,0.49062976,0.4211837,0.24969527,0.14314538,0.13643159
165_908448,0.99999976,0.96895903,0.9027389,0.80413723,0.6915388,0.5007555,0.4007417,0.14214611,0.08401028,0.08654321
194_687821,0.99999976,0.9723532,0.9077351,0.8406531,0.6930492,0.5221847,0.3309319,0.2317319,0.17625979,0.11709424
170_749709,0.99999976,0.9664002,0.8480182,0.78802013,0.6085681,0.48109084,0.47004122,0.37817013,0.2660882,0.27035376
300_909720,0.99999976,0.97004956,0.80070096,0.7459727,0.643682,0.4648435,0.25781453,0.13727242,0.08863825,0.07593478
194_906856,0.99999976,0.97631437,0.91508853,0.80973345,0.60366696,0.43686306,0.2760292,0.1847548,0.114312045,0.09088322
276_905947,0.99999976,0.9686894,0.8910681,0.7879703,0.6277873,0.5519293,0.32289392,0.23742199,0.17031047,0.1507197
272_688015,0.99999976,0.9885891,0.94307446,0.95798284,0.7336807,0.7022563,0.64658946,0.43666053,0.40147528,0.355468
272_907172,0.99999976,0.97101575,0.8348304,0.5538035,0.54225653,0.4582081,0.2235746,0.119153336,0.03443395,0.06470656
344_946360,0.99999976,0.9887353,0.94400793,0.8562874,0.7413184,0.60365725,0.272574,0.18176004,0.10269577,0.09512609
344_909753,0.99999976,0.97995436,0.8949589,0.811418,0.7691377,0.5764404,0.39980042,0.26619187,0.13166563,0.15310085
308_910925,0.99999976,0.9753401,0.9225956,0.7733722,0.5810742,0.48759487,0.24383914,0.18817724,0.137006,0.1059355
157_907000,0.99999976,0.97243434,0.8231834,0.7268042,0.66723746,0.5480792,0.29429966,0.19995362,0.16912486,0.16803323
272_1290812,0.99999976,0.9761247,0.8726587,0.7807304,0.6986074,0.5336282,0.38077164,0.32932594,0.15163738,0.15586191
273_907786,0.99999976,0.9705899,0.9305699,0.86553836,0.6916027,0.6019521,0.37761644,0.20022878,0.12509558,0.090125866
245_906862,0.99999976,0.97272766,0.8900265,0.81608576,0.5929001,0.28586748,0.16705106,0.12415978,0.09105811,0.06536604
229_1330985,0.99999976,0.9778299,0.92717594,0.87191725,0.7294195,0.57616186,0.3424071,0.124133244,0.10708884,0.08050294
170_906791,0.99999976,0.9673544,0.91110533,0.75952417,0.59760106,0.48719543,0.3214529,0.16701595,0.122055225,0.14371778
157_753620,0.99999976,0.97781783,0.90191865,0.8092429,0.6910822,0.4510441,0.3536411,0.23381922,0.23927426,0.20433627
180_1290798,0.99999976,0.96836835,0.89966476,0.8572438,0.74653673,0.55702996,0.2986138,0.16667774,0.14871892,0.16294362
133_905938,0.99999976,0.97364306,0.8617836,0.8233042,0.7210649,0.34186435,0.15488067,0.1314052,0.05705751,0.04702879
170_909761,0.99999976,0.97919905,0.95238936,0.85979986,0.7255531,0.5623481,0.43287608,0.25476435,0.19674726,0.16748774
252_749713,0.99999976,0.9862252,0.9214112,0.8084196,0.65319765,0.44396532,0.27913645,0.16935608,0.14169866,0.13882276
219_753586,0.99999976,0.9829172,0.7917766,0.57621485,0.35791704,0.30393264,0.27373126,0.20401624,0.103824325,0.06967197
308_1290797,0.99999976,0.9743359,0.90593374,0.8406584,0.708674,0.48463315,0.37873498,0.21754038,0.1294135,0.1082794
176_687780,0.99999976,0.97357965,0.90043694,0.8031244,0.63623834,0.48608848,0.34782627,0.20593727,0.14232889,0.11869991
346_907290,0.99999976,0.9772822,0.85723627,0.73356104,0.6420348,0.52922714,0.389748,0.29265034,0.17585762,0.16745847
167_753586,0.99999976,0.9829172,0.7917766,0.57621485,0.35791704,0.30393264,0.27373126,0.20401624,0.103824325,0.06967197
170_1240128,0.99999976,0.97513586,0.88326854,0.8081141,0.674214,0.49733478,0.36183602,0.17042883,0.11125197,0.11669273
1037_1240206,0.99999976,0.9684462,0.89304906,0.745655,0.41825196,0.26516324,0.19103244,0.16398057,0.11499725,0.13853054
272_909758,0.99999976,0.9785246,0.89714265,0.7772257,0.67465466,0.6268581,0.5105204,0.27551278,0.13844307,0.1094343
346_909718,0.99999976,0.98194486,0.9456422,0.8291037,0.5279396,0.36511266,0.22761483,0.161708,0.13974102,0.1459765
184_753554,0.99999976,0.97897583,0.8958791,0.8438438,0.7016187,0.58947337,0.42081553,0.26334047,0.17862934,0.1659788
172_1299070,0.99999976,0.97568816,0.8979399,0.8451232,0.68715245,0.48404294,0.33757097,0.22745025,0.1735989,0.15040186
173_908127,0.99999976,0.96283394,0.84379715,0.6661985,0.657881,0.5042663,0.41816235,0.34312758,0.29006302,0.30873677
41_905964,0.99999976,0.9771625,0.9353349,0.86577433,0.6832487,0.45739064,0.24168977,0.14907482,0.058045268,0.060265362
41_910906,0.99999976,0.9724945,0.87280804,0.7191293,0.61434555,0.49838462,0.30935085,0.20148939,0.09247679,0.08902413
235_1331038,0.99999976,0.9770078,0.9196491,0.7465583,0.5260765,0.47394007,0.33712813,0.20538695,0.118618615,0.09315762
235_688018,0.99999976,0.97356373,0.9139583,0.79763925,0.71216357,0.51234186,0.35476503,0.20269705,0.098731026,0.10853133
331_688026,0.99999976,0.97243214,0.9425578,0.9295395,0.73902404,0.6002486,0.37356398,0.14905177,0.108688906,0.15218158
235_1327768,0.99999976,0.9718717,0.9172554,0.78313625,0.6951096,0.43919367,0.26116583,0.14070742,0.09806934,0.09009126
200_1298531,0.99999976,0.97462267,0.85955065,0.68691313,0.53012294,0.33322135,0.2832394,0.21110971,0.16035733,0.17206816
170_1327768,0.99999976,0.9718717,0.9172554,0.78313625,0.6951096,0.43919367,0.26116583,0.14070742,0.09806934,0.09009126
157_905972,0.99999976,0.9722689,0.900231,0.8051526,0.6456693,0.5370314,0.35308722,0.25104362,0.17860201,0.18400441
328_687562,0.99999976,0.9754807,0.9126282,0.80859125,0.634346,0.59742665,0.43690988,0.2369118,0.098304555,0.06815915
170_1240167,0.99999976,0.97916275,0.8444931,0.7119165,0.55263156,0.4288244,0.29781088,0.22172876,0.18928488,0.16771093
165_1240169,0.99999976,0.9753739,0.87183404,0.79190844,0.6087665,0.46880317,0.31001598,0.17332542,0.10909562,0.08803742
219_971773,0.99999976,0.9740758,0.884338,0.69855946,0.5311864,0.38937515,0.33996275,0.3098436,0.11306456,0.11681757
308_907319,0.99999976,0.97557384,0.912555,0.70198184,0.5645515,0.33208632,0.26331076,0.15250453,0.11949031,0.13497321
201_909252,0.99999976,0.96616733,0.8962257,0.74481267,0.587581,0.43450186,0.28064817,0.124383055,0.0596867,0.041905757
172_910919,0.99999976,0.97303045,0.91471213,0.7767954,0.5931555,0.43600962,0.24842176,0.14318262,0.09700253,0.08557808
1004_909905,0.99999976,0.97186935,0.8814506,0.6964204,0.4994221,0.3322421,0.24530104,0.16338739,0.08513313,0.07640799
1057_1240161,0.99999976,0.9718417,0.90882117,0.756363,0.61417764,0.40439466,0.28405103,0.21976897,0.15999211,0.17333695
272_1240140,0.99999976,0.96520287,0.8804918,0.77786183,0.58724916,0.42774692,0.2660633,0.13544755,0.08067111,0.058494437
1031_1503369,0.99999976,0.96202606,0.86247724,0.720449,0.6427952,0.44628334,0.28929093,0.30789804,0.22645049,0.21437728
200_906797,0.99999976,0.97579193,0.90116143,0.82269204,0.6530632,0.48458079,0.3070716,0.23090671,0.18270482,0.16021207
269_1240157,0.99999976,0.9751501,0.9361356,0.85343975,0.7977769,0.5877771,0.28884342,0.19377474,0.12190265,0.12031339
273_907788,0.99999976,0.9649944,0.897327,0.8732141,0.59901464,0.5217145,0.18819796,0.08037362,0.055887394,0.04897776
200_909759,0.99999976,0.9735407,0.9271522,0.8277648,0.67891115,0.5656741,0.3689883,0.21168016,0.17495887,0.14933673
308_1330931,0.99999976,0.975959,0.9461172,0.85459924,0.650807,0.46672878,0.41187227,0.22836499,0.091067545,0.091061294
133_906836,0.99999976,0.96895415,0.8994897,0.83058053,0.68320954,0.48457935,0.28649783,0.17712465,0.11310044,0.10323322
9_906800,0.99999976,0.97000575,0.9188258,0.83907574,0.6875466,0.44080162,0.1964806,0.11787398,0.050194744,0.039585996
344_753545,0.99999976,0.9749996,0.9206038,0.8783246,0.71423376,0.5155268,0.22603053,0.12308331,0.077461794,0.087482765
273_906865,0.99999976,0.9768938,0.8268067,0.6108716,0.49068275,0.3041067,0.20624892,0.15061697,0.06895333,0.0865605
346_1524419,0.99999976,0.95537007,0.8108194,0.7349397,0.59378093,0.49057037,0.24533913,0.10760295,0.09288183,0.03899021
269_713899,0.99999976,0.9782877,0.92985195,0.87556636,0.7391375,0.40961036,0.2550287,0.13862392,0.09121609,0.080227
275_909252,0.99999976,0.96616733,0.8962257,0.74481267,0.587581,0.43450186,0.28064817,0.124383055,0.0596867,0.041905757
170_1240190,0.99999976,0.9720868,0.9079446,0.89175504,0.7312991,0.5601709,0.45447475,0.38456854,0.25971127,0.2693959
1149_1240222,0.99999976,0.9783394,0.8655664,0.82396156,0.70148695,0.4744946,0.35771134,0.21015866,0.16094428,0.1545861
1026_910947,0.99999976,0.97878575,0.9337001,0.8311815,0.71355844,0.6219781,0.52407134,0.1626936,0.065430775,0.05971036
273_909747,0.99999976,0.98510754,0.89959615,0.85778093,0.71337616,0.5999923,0.42729846,0.26010776,0.13779159,0.15197752
170_1299081,0.99999976,0.9816659,0.9177613,0.82358325,0.58367676,0.44184434,0.34703436,0.17233527,0.07671048,0.0653082
180_1298144,0.99999976,0.96242994,0.86705494,0.5708917,0.43770188,0.37127572,0.21828412,0.11631507,0.040434323,0.036463805
274_908148,0.99999976,0.97228307,0.91445696,0.8203756,0.72215354,0.55466473,0.28038016,0.15296136,0.11818591,0.1016459
235_688026,0.99999976,0.97243214,0.9425578,0.9295395,0.73902404,0.6002486,0.37356398,0.14905177,0.108688906,0.15218158
252_753552,0.99999976,0.9679831,0.8939562,0.7662466,0.7014323,0.5267932,0.41510695,0.21260135,0.10655608,0.08892701
88_910947,0.99999976,0.97878575,0.9337001,0.8311815,0.71355844,0.6219781,0.52407134,0.1626936,0.065430775,0.05971036
167_1298362,0.99999976,0.95820314,0.89357233,0.81376916,0.8100216,0.59747225,0.40322965,0.22692169,0.12308043,0.09490307
245_906833,0.99999976,0.98413527,0.5356684,0.53120226,0.2822543,0.21231776,0.11726064,0.10974189,0.086818464,0.08618576
272_905971,0.99999976,0.9815589,0.9453832,0.9369017,0.8251277,0.70122474,0.47538665,0.34283587,0.21538654,0.21969904
190_909255,0.99999976,0.9734111,0.89648795,0.75829023,0.53746444,0.31634414,0.18513241,0.13167785,0.0795645,0.070065446
273_910952,0.99999976,0.9716906,0.8899767,0.81501627,0.64915156,0.5176318,0.31528413,0.2800777,0.16480644,0.16601673
272_1298168,0.99999976,0.97356576,0.8980889,0.82942665,0.7205366,0.51934546,0.3573392,0.21459721,0.16986685,0.17453025
170_924104,0.99999976,0.979354,0.8957277,0.80905634,0.63590056,0.4272863,0.32895854,0.24549048,0.13904676,0.13254517
11_906870,0.99999976,0.9709159,0.8420764,0.71974117,0.5008924,0.3490732,0.22450578,0.16663812,0.12949558,0.1289853
104_909249,0.99999976,0.9755597,0.9194078,0.7961858,0.5707661,0.4066135,0.27823034,0.21363297,0.16333519,0.13012838
273_905939,0.99999976,0.97724754,0.90179265,0.7697019,0.63994765,0.505613,0.3469128,0.2648556,0.20498273,0.20748533
245_907050,0.99999976,0.97196054,0.89094776,0.8088329,0.66061276,0.5118561,0.3733567,0.25035855,0.21871385,0.19220534
157_909785,0.99999976,0.9698168,0.9226086,0.83411884,0.74757016,0.44705266,0.31404468,0.22139883,0.14153787,0.152689
